symbol,open,high,low,preV. CLOSE,ltp,indicative CLose,chng,%Chng,volume(shares),value(₹ Crores),52W H,52W L,30 d  %chng,30 d  %chng (2)
PCBL, 301.00, 303.15, 296.50, 300.35, 298.10, 298.30, -2.25, -0.75, 387163, 11.59, 471.30, 282.80, -5.22, 
AKZOINDIA, 3201.70, 3201.80, 3162.00, 3211.60, 3187.60, 3186.90, -24.00, -0.75, 27685, 8.80, 3957.90, 3022.00, -7.79, 
ETERNAL, 280.50, 284.00, 279.60, 284.15, 282.00, 282.10, -2.15, -0.76, 16900350, 475.44, 368.45, 194.80, -5.46, 
HSCL, 491.85, 498.80, 486.95, 494.00, 490.25, 490.30, -3.75, -0.76, 867900, 42.84, 606.60, 365.35, 13.92, 
TEJASNET, 454.40, 464.45, 448.30, 453.25, 449.80, 449.75, -3.45, -0.76, 668769, 30.34, 1220.00, 440.00, -13.17, 
SHRIRAMFIN, 1013.50, 1014.80, 994.65, 1010.35, 1002.55, 1003.10, -7.80, -0.77, 4051051, 406.39, 1025.60, 493.35, 19.79, 
GODREJAGRO, 575.40, 577.90, 568.55, 573.95, 569.55, 571.00, -4.40, -0.77, 79361, 4.55, 876.35, 559.10, -3.85, 
PAGEIND, 35900.00, 35905.00, 35190.00, 35775.00, 35495.00, 35470.00, -280.00, -0.78, 24748, 88.06, 50590.00, 35190.00, -4.87, 
LLOYDSME, 1351.90, 1351.90, 1331.40, 1348.80, 1338.30, 1339.00, -10.50, -0.78, 197925, 26.52, 1612.00, 942.15, 11.40, 
RELIANCE, 1593.00, 1611.80, 1577.00, 1592.30, 1579.20, 1580.20, -13.10, -0.82, 7296092, 1161.32, 1611.80, 1114.85, 2.97, 
PETRONET, 291.05, 291.60, 286.55, 291.05, 288.65, 288.90, -2.40, -0.82, 1115799, 32.21, 346.50, 263.50, 7.36, 
NEWGEN, 840.00, 845.00, 832.50, 840.15, 833.25, 833.70, -6.90, -0.82, 151538, 12.69, 1798.90, 758.20, -3.58, 
GODREJIND, 1024.60, 1030.90, 1007.70, 1021.10, 1012.70, 1012.60, -8.40, -0.82, 40592, 4.14, 1390.00, 766.00, -2.30, 
TITAGARH, 892.00, 904.90, 877.05, 890.35, 882.95, 884.10, -7.40, -0.83, 503797, 44.66, 1148.95, 654.55, 10.21, 
CONCOR, 532.50, 534.00, 523.05, 531.80, 527.40, 527.25, -4.40, -0.83, 681332, 35.96, 652.04, 481.00, 5.64, 
TECHM, 1601.90, 1610.10, 1576.10, 1612.00, 1598.40, 1599.50, -13.60, -0.84, 791859, 126.28, 1736.40, 1209.40, 4.90, 
ELECON, 502.50, 508.80, 483.50, 501.00, 496.70, 496.60, -4.30, -0.86, 1235344, 61.43, 716.25, 376.95, 2.70, 
ALOKINDS, 16.27, 16.34, 16.02, 16.26, 16.12, 16.13, -0.14, -0.86, 2314234, 3.74, 23.50, 14.01, -2.40, 
DIXON, 12220.00, 12280.00, 11992.00, 12165.00, 12057.00, 12070.00, -108.00, -0.89, 404143, 491.24, 18700.00, 11646.00, -16.07, 
CHOICEIN, 852.90, 860.50, 841.65, 850.30, 842.70, 843.70, -7.60, -0.89, 452501, 38.66, 860.50, 438.45, 8.36, 
BPCL, 380.00, 385.45, 374.40, 381.45, 378.00, 378.15, -3.45, -0.90, 4783411, 181.94, 388.15, 234.01, 6.33, 
NH, 1930.00, 1938.70, 1888.10, 1921.10, 1903.80, 1904.80, -17.30, -0.90, 946486, 180.42, 2370.20, 1256.55, 0.57, 
VMM, 137.26, 137.26, 132.63, 135.95, 134.68, 134.84, -1.27, -0.93, 5108780, 68.64, 157.60, 95.99, 0.32, 
HAPPSTMNDS, 466.10, 468.90, 457.80, 466.10, 461.75, 461.90, -4.35, -0.93, 212014, 9.78, 773.70, 450.15, -5.58, 
LUPIN, 2105.30, 2112.20, 2075.40, 2105.30, 2085.60, 2088.40, -19.70, -0.94, 491534, 103.06, 2402.90, 1795.20, 1.09, 
MRPL, 151.50, 156.37, 149.05, 151.31, 149.89, 149.85, -1.42, -0.94, 2983342, 45.21, 185.00, 98.92, -4.82, 
DEEPAKFERT, 1265.00, 1279.90, 1243.10, 1261.80, 1250.00, 1250.70, -11.80, -0.94, 215294, 27.06, 1778.60, 888.90, -4.46, 
RCF, 149.20, 150.95, 146.72, 149.19, 147.77, 147.92, -1.42, -0.95, 1361999, 20.23, 184.40, 110.80, 8.04, 
FSL, 340.60, 343.20, 335.65, 340.55, 337.30, 336.95, -3.25, -0.95, 257509, 8.71, 422.30, 270.00, -1.35, 
TCS, 3240.50, 3247.00, 3191.00, 3250.70, 3219.60, 3220.80, -31.10, -0.96, 2036866, 656.11, 4322.95, 2866.60, 3.67, 
IOC, 166.80, 168.79, 163.60, 166.79, 165.19, 165.26, -1.60, -0.96, 8558456, 142.17, 174.50, 110.72, 2.74, 
JYOTICNC, 996.40, 1009.00, 976.60, 993.95, 984.40, 983.20, -9.55, -0.96, 156085, 15.42, 1407.95, 750.10, 0.47, 
SARDAEN, 525.80, 525.80, 500.95, 523.00, 517.95, 517.50, -5.05, -0.97, 596614, 30.52, 639.75, 396.60, 6.17, 
SBFC, 103.25, 103.49, 101.55, 102.99, 101.98, 101.93, -1.01, -0.98, 821557, 8.40, 123.00, 79.24, -3.07, 
TECHNOE, 1118.60, 1137.00, 1092.10, 1111.30, 1100.20, 1097.00, -11.10, -1.00, 157772, 17.48, 1705.00, 785.15, -4.35, 
CESC, 176.00, 177.71, 172.67, 175.37, 173.61, 173.51, -1.76, -1.00, 853301, 14.88, 192.27, 119.00, 1.38, 
ELGIEQUIP, 483.80, 486.65, 476.00, 483.80, 478.95, 479.10, -4.85, -1.00, 235792, 11.33, 608.40, 401.00, -4.38, 
PRAJIND, 325.65, 328.00, 320.05, 325.45, 322.15, 322.30, -3.30, -1.01, 416661, 13.44, 862.00, 293.40, 2.57, 
TATAPOWER, 392.50, 393.00, 387.30, 393.10, 389.10, 388.90, -4.00, -1.02, 3656805, 142.74, 416.80, 326.35, 1.20, 
AWL, 235.65, 237.44, 233.30, 236.27, 233.86, 233.81, -2.41, -1.02, 1097608, 25.78, 333.00, 231.55, -5.26, 
KPRMILL, 913.00, 914.65, 894.00, 909.75, 900.50, 902.60, -9.25, -1.02, 188671, 17.04, 1389.00, 755.50, -11.42, 
LICHSGFIN, 548.40, 548.40, 538.45, 545.55, 539.95, 540.25, -5.60, -1.03, 622750, 33.78, 646.50, 483.70, -1.64, 
SONACOMS, 487.50, 489.50, 478.55, 486.35, 481.35, 482.40, -5.00, -1.03, 594559, 28.78, 607.30, 380.00, -3.96, 
GLAXO, 2484.90, 2484.90, 2452.00, 2483.80, 2458.00, 2457.50, -25.80, -1.04, 33222, 8.18, 3515.70, 1921.00, -1.42, 
APARINDS, 8268.00, 8293.00, 8123.00, 8264.50, 8178.00, 8173.50, -86.50, -1.05, 53671, 43.95, 11779.90, 4308.05, -7.15, 
IOB, 37.58, 38.02, 36.56, 37.23, 36.84, 36.80, -0.39, -1.05, 8028666, 29.73, 54.54, 33.50, -3.35, 
IRB, 42.82, 42.99, 42.17, 42.81, 42.36, 42.35, -0.45, -1.05, 4407222, 18.68, 60.95, 40.51, 0.05, 
MAXHEALTH, 1062.60, 1062.60, 1048.50, 1062.60, 1051.30, 1051.70, -11.30, -1.06, 1340659, 141.33, 1314.30, 940.05, -4.91, 
HFCL, 67.77, 70.20, 66.56, 67.73, 67.01, 67.14, -0.72, -1.06, 16765300, 113.97, 116.40, 60.72, -4.23, 
NTPCGREEN, 97.39, 97.39, 95.51, 97.11, 96.08, 96.02, -1.03, -1.06, 2359564, 22.65, 132.95, 84.55, 4.55, 
IDFCFIRSTB, 86.27, 86.27, 84.46, 85.92, 85.00, 85.05, -0.92, -1.07, 13368287, 113.90, 87.00, 52.46, 4.81, 
GLENMARK, 2071.50, 2091.80, 2031.50, 2064.50, 2042.20, 2043.00, -22.30, -1.08, 302654, 62.49, 2284.80, 1275.50, 4.34, 
VBL, 492.00, 493.80, 485.65, 493.80, 488.40, 489.30, -5.40, -1.09, 4442091, 216.98, 663.60, 419.55, 2.58, 
ADANIENSOL, 1054.70, 1057.70, 1040.00, 1057.90, 1046.40, 1046.80, -11.50, -1.09, 712751, 74.68, 1067.70, 639.45, 8.29, 
TATACHEM, 755.25, 755.40, 745.00, 755.25, 747.05, 747.15, -8.20, -1.09, 393480, 29.44, 1045.00, 745.00, -4.37, 
JSWINFRA, 286.75, 287.20, 281.30, 285.35, 282.20, 282.00, -3.15, -1.10, 471612, 13.35, 349.00, 218.20, 4.56, 
AARTIIND, 376.00, 379.70, 371.15, 376.95, 372.80, 373.20, -4.15, -1.10, 277747, 10.41, 495.00, 344.20, -0.04, 
SUZLON, 54.40, 54.54, 53.30, 54.28, 53.68, 53.76, -0.60, -1.11, 36618527, 197.08, 74.30, 46.15, 1.61, 
BSOFT, 433.00, 437.35, 424.65, 432.05, 427.25, 427.15, -4.80, -1.11, 525359, 22.47, 571.00, 331.00, 6.69, 
CERA, 5258.00, 5258.00, 5180.00, 5258.00, 5197.50, 5193.50, -60.50, -1.15, 9480, 4.94, 7703.40, 5060.05, -2.80, 
AKUMS, 451.05, 455.10, 444.00, 451.85, 446.65, 446.65, -5.20, -1.15, 59256, 2.66, 652.65, 405.00, 6.24, 
PERSISTENT, 6289.50, 6300.00, 6110.50, 6289.50, 6216.50, 6212.00, -73.00, -1.16, 273254, 169.19, 6599.00, 4148.95, -1.63, 
ADANIPOWER, 148.00, 148.40, 144.46, 148.17, 146.44, 146.38, -1.73, -1.17, 14528027, 212.33, 182.70, 89.00, 0.96, 
FEDERALBNK, 266.95, 267.10, 261.35, 266.95, 263.80, 263.80, -3.15, -1.18, 5993456, 157.58, 271.10, 172.66, 3.29, 
MOTILALOFS, 866.70, 871.00, 853.00, 866.70, 856.45, 856.85, -10.25, -1.18, 568701, 49.03, 1097.10, 513.00, -9.26, 
BAJFINANCE, 979.70, 999.15, 975.00, 990.45, 978.65, 978.95, -11.80, -1.19, 9584561, 941.49, 1102.50, 697.10, -3.42, 
SONATSOFTW, 365.15, 367.00, 359.35, 365.15, 360.70, 361.00, -4.45, -1.22, 241816, 8.77, 634.05, 286.40, 4.30, 
MANAPPURAM, 311.20, 312.70, 305.05, 311.15, 307.30, 307.50, -3.85, -1.24, 3454124, 106.41, 319.40, 168.83, 11.92, 
IRCON, 179.22, 180.80, 176.22, 179.22, 177.00, 177.18, -2.22, -1.24, 2569247, 45.73, 229.50, 134.24, 13.52, 
BLUEJET, 528.50, 534.95, 521.05, 531.10, 524.40, 524.10, -6.70, -1.26, 171871, 9.03, 1027.80, 512.40, -6.81, 
ABFRL, 77.90, 77.93, 76.77, 78.16, 77.16, 77.20, -1.00, -1.28, 1404378, 10.84, 295.70, 70.55, 1.40, 
IREDA, 147.50, 149.48, 143.64, 146.64, 144.75, 144.72, -1.89, -1.29, 11256590, 164.46, 234.29, 129.11, 4.61, 
CHENNPETRO, 827.20, 848.00, 811.00, 827.20, 816.20, 815.15, -11.00, -1.33, 721680, 59.28, 1103.00, 433.10, -11.32, 
ONGC, 246.80, 246.80, 235.70, 241.46, 238.19, 238.35, -3.27, -1.35, 19048510, 456.50, 273.50, 205.00, -0.85, 
RVNL, 366.05, 372.90, 358.45, 365.85, 360.85, 361.40, -5.00, -1.37, 5698388, 207.10, 501.80, 301.20, 15.08, 
JSWCEMENT, 123.01, 123.01, 120.64, 123.01, 121.33, 121.32, -1.68, -1.37, 1056725, 12.82, 162.15, 106.65, 10.89, 
ABLBL, 125.10, 125.16, 123.41, 125.18, 123.47, 123.51, -1.71, -1.37, 447780, 5.56, 175.00, 115.00, -4.46, 
MANYAVAR, 577.90, 584.00, 568.90, 579.65, 571.70, 571.85, -7.95, -1.37, 89202, 5.12, 1302.60, 568.90, -4.20, 
HOMEFIRST, 1109.10, 1110.30, 1086.60, 1105.10, 1089.90, 1089.90, -15.20, -1.38, 243505, 26.67, 1519.00, 878.40, 1.20, 
GAIL, 175.40, 175.90, 172.35, 175.38, 172.94, 173.08, -2.44, -1.39, 6694444, 116.53, 202.79, 150.52, 0.22, 
KPITTECH, 1167.60, 1174.20, 1147.20, 1167.60, 1151.30, 1152.90, -16.30, -1.40, 501232, 57.96, 1500.00, 1020.60, -6.85, 
RAILTEL, 376.05, 377.65, 368.05, 376.15, 370.85, 371.10, -5.30, -1.41, 849083, 31.57, 478.95, 265.50, 11.90, 
FLUOROCHEM, 3648.00, 3655.80, 3558.00, 3648.00, 3596.10, 3596.00, -51.90, -1.42, 46150, 16.57, 4254.90, 3220.60, 6.59, 
RBLBANK, 320.90, 320.90, 309.00, 320.75, 316.05, 315.80, -4.70, -1.47, 8176883, 256.57, 332.00, 146.10, 6.12, 
SCHAEFFLER, 3851.00, 3877.70, 3803.20, 3874.30, 3817.00, 3813.40, -57.30, -1.48, 34765, 13.37, 4392.00, 2823.00, -0.36, 
GMDCLTD, 622.00, 632.50, 607.55, 619.45, 610.00, 610.80, -9.45, -1.53, 3847779, 238.49, 651.00, 226.59, 14.56, 
NEULANDLAB, 15311.00, 15350.00, 15010.00, 15276.00, 15041.00, 15048.00, -235.00, -1.54, 18671, 28.31, 19747.00, 10190.70, -6.59, 
ALKYLAMINE, 1607.10, 1635.00, 1566.10, 1607.10, 1581.90, 1576.80, -25.20, -1.57, 39432, 6.31, 2438.80, 1508.00, -3.37, 
GRANULES, 615.00, 617.50, 605.15, 615.35, 605.50, 606.00, -9.85, -1.60, 439389, 26.85, 624.70, 422.00, 7.92, 
SAGILITY, 53.10, 53.60, 51.75, 52.97, 52.10, 52.16, -0.87, -1.64, 24864238, 131.31, 57.89, 37.60, 7.47, 
NSLNISP, 45.75, 45.85, 44.66, 45.69, 44.94, 44.97, -0.75, -1.64, 2696624, 12.18, 49.65, 32.13, 8.97, 
AEGISVOPAK, 250.00, 251.31, 244.51, 248.82, 244.73, 244.81, -4.09, -1.64, 235344, 5.81, 302.00, 220.00, -9.73, 
NIACL, 158.00, 158.30, 153.80, 157.04, 154.45, 154.46, -2.59, -1.65, 318943, 4.95, 214.74, 135.60, -6.29, 
INOXWIND, 129.00, 129.00, 125.27, 128.04, 125.90, 126.03, -2.14, -1.67, 4077494, 51.69, 199.01, 118.28, -3.94, 
NCC, 161.50, 162.71, 158.51, 161.49, 158.78, 158.77, -2.71, -1.68, 2869351, 45.86, 280.95, 152.20, -6.25, 
ATGL, 587.55, 587.60, 576.20, 587.60, 577.75, 577.90, -9.85, -1.68, 489224, 28.35, 798.00, 532.60, -2.34, 
LICI, 858.50, 863.60, 843.70, 860.85, 846.20, 846.20, -14.65, -1.70, 1742232, 148.08, 980.00, 715.30, -2.61, 
NAUKRI, 1370.00, 1370.90, 1333.70, 1367.70, 1344.20, 1344.60, -23.50, -1.72, 594769, 80.06, 1825.78, 1157.00, -1.36, 
INDUSTOWER, 439.30, 442.65, 432.00, 442.05, 434.35, 434.60, -7.70, -1.74, 5127148, 223.61, 446.00, 312.55, 9.98, 
GRAVITA, 1855.00, 1863.60, 1825.00, 1860.50, 1827.50, 1827.80, -33.00, -1.77, 115649, 21.29, 2336.00, 1379.65, 4.71, 
MGL, 1151.00, 1151.90, 1120.00, 1142.00, 1121.40, 1121.70, -20.60, -1.80, 201794, 22.75, 1586.90, 1092.30, -3.47, 
FACT, 906.25, 912.45, 886.65, 908.05, 891.75, 892.65, -16.30, -1.80, 117104, 10.51, 1112.00, 565.00, 5.78, 
DMART, 3719.10, 3719.10, 3635.30, 3719.80, 3652.20, 3655.00, -67.60, -1.82, 484797, 177.48, 4949.50, 3340.00, -6.11, 
IGL, 194.33, 194.80, 190.31, 194.34, 190.64, 190.77, -3.70, -1.90, 989342, 18.93, 229.00, 172.00, -2.06, 
HCLTECH, 1625.00, 1633.50, 1580.10, 1640.20, 1608.50, 1610.00, -31.70, -1.93, 2924424, 468.63, 2012.20, 1302.75, 0.29, 
UCOBANK, 30.88, 31.25, 29.73, 30.51, 29.92, 29.92, -0.59, -1.93, 13392025, 40.55, 46.27, 26.81, -0.29, 
ASTRAZEN, 8536.00, 8602.00, 8376.00, 8601.50, 8435.00, 8436.50, -166.50, -1.94, 27606, 23.33, 10691.00, 6619.50, -5.94, 
OIL, 432.45, 432.45, 415.10, 428.85, 420.20, 420.45, -8.65, -2.02, 2122490, 89.30, 494.55, 325.00, 2.93, 
SCHNEIDER, 714.50, 715.60, 700.00, 717.30, 702.75, 703.35, -14.55, -2.03, 103587, 7.31, 1052.00, 540.00, -4.58, 
JBMA, 659.20, 664.90, 647.20, 666.60, 652.90, 653.20, -13.70, -2.06, 674074, 44.10, 824.00, 489.80, 8.89, 
INFY, 1637.00, 1637.00, 1583.10, 1640.40, 1606.50, 1607.40, -33.90, -2.07, 5240815, 839.79, 1982.80, 1307.00, 5.09, 
CEATLTD, 3877.10, 3885.00, 3805.00, 3887.20, 3806.80, 3809.00, -80.40, -2.07, 56087, 21.51, 4438.00, 2343.05, -0.56, 
WIPRO, 269.45, 269.65, 261.70, 269.00, 263.40, 263.55, -5.60, -2.08, 6076942, 160.38, 324.60, 228.00, 7.53, 
ASAHIINDIA, 992.10, 995.80, 971.00, 992.10, 971.10, 972.80, -21.00, -2.12, 57359, 5.64, 1074.00, 576.80, -6.97, 
SWIGGY, 387.20, 390.25, 377.00, 387.20, 378.90, 379.45, -8.30, -2.14, 7347925, 279.89, 558.85, 297.00, -3.05, 
HEXT, 754.15, 756.80, 735.25, 754.15, 737.90, 738.05, -16.25, -2.15, 413226, 30.61, 900.00, 590.30, 2.61, 
LEMONTREE, 153.99, 154.10, 149.90, 153.99, 150.62, 150.62, -3.37, -2.19, 2715353, 41.13, 180.68, 117.51, -5.10, 
JWL, 340.00, 348.00, 330.15, 338.25, 330.80, 331.65, -7.45, -2.20, 2874926, 97.04, 524.35, 247.15, 19.06, 
DEEPAKNTR, 1711.10, 1717.70, 1667.00, 1711.10, 1672.70, 1672.30, -38.40, -2.24, 105862, 17.76, 2527.35, 1514.00, 12.23, 
AFCONS, 388.60, 389.90, 381.60, 390.85, 382.05, 382.10, -8.80, -2.25, 523466, 20.04, 570.00, 376.30, -5.74, 
HUDCO, 232.00, 232.34, 224.50, 231.42, 226.19, 226.36, -5.23, -2.26, 3722756, 84.62, 254.29, 158.85, -1.98, 
HDFCBANK, 1005.75, 1006.40, 976.30, 1001.60, 978.05, 977.75, -23.55, -2.35, 23334752, 2299.87, 1020.50, 812.15, 1.19, 
JUBLFOOD, 552.95, 554.30, 539.10, 552.95, 539.75, 539.95, -13.20, -2.39, 2265570, 123.19, 796.75, 539.10, -8.37, 
LTFOODS, 389.00, 389.20, 373.65, 390.45, 381.00, 380.95, -9.45, -2.42, 803940, 30.50, 518.55, 288.25, -6.01, 
THELEELA, 445.15, 452.95, 431.55, 445.15, 434.35, 433.30, -10.80, -2.43, 344583, 15.24, 474.40, 382.50, 7.23, 
NBCC, 122.70, 124.27, 118.52, 122.67, 119.61, 119.70, -3.06, -2.49, 11301876, 136.65, 130.70, 70.80, 6.43, 
POLYMED, 1768.00, 1775.90, 1717.40, 1769.70, 1725.60, 1727.20, -44.10, -2.49, 85890, 14.88, 2937.60, 1683.10, -8.08, 
ACE, 979.00, 981.40, 951.00, 976.80, 952.40, 952.65, -24.40, -2.50, 149620, 14.35, 1569.80, 909.00, -0.42, 
TIINDIA, 2610.60, 2614.90, 2520.70, 2597.70, 2531.10, 2532.50, -66.60, -2.56, 451442, 114.75, 3693.60, 2407.10, -7.02, 
IRCTC, 694.90, 701.65, 675.45, 694.85, 676.60, 677.70, -18.25, -2.63, 1842246, 125.96, 831.75, 656.00, 2.19, 
SCI, 235.10, 237.50, 228.85, 235.08, 228.85, 229.34, -6.23, -2.65, 1683149, 39.08, 280.50, 138.26, 2.59, 
IDEA, 11.80, 12.02, 11.37, 11.78, 11.46, 11.47, -0.32, -2.72, 901203443, 1055.31, 12.80, 6.12, 16.29, 
BIKAJI, 735.60, 739.95, 713.55, 735.60, 715.00, 715.15, -20.60, -2.80, 114164, 8.25, 818.70, 558.80, 4.99, 
CHALET, 902.35, 902.40, 874.00, 902.50, 875.15, 876.15, -27.35, -3.03, 169435, 14.96, 1082.00, 634.05, 2.56, 
IDBI, 115.46, 118.38, 110.33, 114.73, 110.95, 111.21, -3.78, -3.29, 38691127, 437.60, 118.38, 65.89, 15.01, 
CUMMINSIND, 4488.00, 4515.80, 4306.20, 4482.10, 4323.20, 4330.70, -158.90, -3.55, 397805, 174.87, 4615.00, 2580.00, -0.72, 
TARIL, 336.75, 336.80, 322.10, 336.40, 324.05, 324.75, -12.35, -3.67, 8148852, 266.65, 648.90, 230.10, 29.66, 
M&MFIN, 400.00, 404.40, 382.10, 402.95, 384.45, 384.10, -18.50, -4.59, 3783673, 146.86, 412.20, 231.02, -82.05, 
RELINFRA, 156.32, 156.32, 156.32, 164.54, 156.32, 156.32, -8.22, -5.00, 57408, 0.90, 423.40, 128.38, 2.00, 
DEVYANI, 148.10, 149.40, 138.70, 148.07, 140.46, 140.40, -7.61, -5.14, 6056603, 86.40, 209.75, 122.25, 11.20, 
WAAREEENER, 2864.90, 2864.90, 2706.00, 2866.30, 2716.40, 2715.00, -149.90, -5.23, 2324048, 637.63, 3865.00, 1863.00, -9.12, 
PREMIERENE, 847.10, 849.90, 782.40, 845.90, 787.80, 788.70, -58.10, -6.87, 5069615, 404.49, 1379.00, 774.05, -12.40, 
SAPPHIRE, 250.90, 253.55, 231.50, 252.00, 234.15, 234.00, -17.85, -7.08, 3500293, 83.30, 374.65, 221.40, 2.19, 
ATHERENERG, 744.00, 744.00, 687.70, 741.65, 688.00, 690.35, -53.65, -7.23, 2750799, 195.12, 790.00, 288.15, 8.23, 
